検索語句レポート
2025年10月20日 - 2025年11月18日
検索語句,マッチタイプ,追加済み / 除外済み,キャンペーン,広告グループ,表示回数,インタラクション,インタラクション率,通貨コード,平均費用,費用,キャンペーン タイプ
東京 ノイエ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
真 和 建設 さいたま 市,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
加須 市 伊沢 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
住ん だ まま リフォーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 駅 不動産,インテント マッチ,なし,Search-1,広告グループ 1 個,2,1,50.00%,JPY,54,54,検索
株式 会社 青木 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
古川 工務 店 北本,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
丸山 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
プラザ 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
佐藤 住 建 工業,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
仲川 工務 店 川口,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
藤島 建設 フィット イン プラザ,フレーズ一致,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ポラテック 越谷,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
ユメックス ホーム 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
株式 会社 佐川 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
二瓶 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
川口 市 リフォーム 会社,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
高橋 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
川口 わらび 住宅 公園,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
ニチハ ショールーム 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
三栄 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
株式 会社 住宅 サポート c,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ポラテック 越谷,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
川口 建築,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
篠崎 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
篠崎 工務 店 蓮田,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
注文 住宅 浦和,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
庭 リフォーム さいたま 市,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
埼玉 工務 店,完全一致,追加済み,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
住宅 展示 場 クオカード 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
アイ 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,36,2,5.56%,JPY,36,71,検索
岡田 工務 店 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大賀 建設 株式 会社,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
アール プラス ハウス,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
佐 一 建設 川口 口コミ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
内装 工事,インテント マッチ,なし,Search-1,広告グループ 1 個,5,0,0.00%,JPY,0,0,検索
日本 住宅 株式 会社 埼玉 支店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 横浜,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
さいたま 市 工務 店 おすすめ,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
コスモ ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
吉川 市 不動産 屋,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
技巧 建築,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
草加 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 ミライズ 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
岩崎 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ハシモト 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
近く リフォーム 会社,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
リフォーム 武蔵 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
フル リフォーム 格安,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
後 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
南 浦和 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,5,0,0.00%,JPY,0,0,検索
東所沢 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
富士見 工務 店,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
1 条 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株式 会社 埼玉 丸山 工務 所,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
toivo 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
安藤 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ヤマダ ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
田邉 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
山崎 建設 坂戸,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
住 協 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
菊池 建設 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
住友 不動産 戸建て,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
エイワン ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
サントウ 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ふすま 張替え さいたま 市,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
武蔵 浦和 住宅 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ヤマダ ホームズ,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
ヤマト 住 建 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
lixil リフォーム ショップ ライファ 大宮 東,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
吉川 市 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
中原 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大宮 北 展示 場,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
長谷 工 戸建て,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 サッシ 屋,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
埼玉 外 構,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
オグロ 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
所沢 工務 店 注文 住宅,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
岩 建 ホーム テック,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
パナソニック ホームズ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
㈱ 武井 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
佐藤 工務 店 さいたま 市,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
星 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
桧 家 住宅 埼玉 支社,インテント マッチ,なし,Search-1,広告グループ 1 個,2,1,50.00%,JPY,628,628,検索
スケルトン リフォーム 基礎 工事,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,1,100.00%,JPY,82,82,検索
株式 会社 水谷 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
積水 ハウス リフォーム 埼玉 営業 所,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
tcs 北浦 和 レジデンス,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株式 会社 蓮見 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
展示 場 さいたま 市,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
岡田 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
嶋 澤 啓 工務 店 浦和 ショールーム,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
プラウド 浦和 岸 町,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
建具 屋 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
スエーデン ハウス 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ism リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
しま ざわ けい 工務 店,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株式 会社 大和 不動産 浦和 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アイ 工務 店 浦和 美園,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大熊 工務 店 インテリア 館,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
和 土 住宅 公園,インテント マッチ,なし,Search-1,広告グループ 1 個,6,1,16.67%,JPY,72,72,検索
ホーム テック,完全一致,なし,Search-1,Search-1 - 動的広告グループ,5,0,0.00%,JPY,0,0,検索
ハウス テック 大宮 ショールーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
入倉 工務 店 川越,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
クリオ 北浦 和,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
高松 建設 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 工事,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
住まい づくり,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
株式 会社 新井 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,4,0,0.00%,JPY,0,0,検索
浦和 注文 住宅,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
株式 会社 山下 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
タカラ リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ヤマト 住 建 川口 ショールーム,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
彩 の 国 ハウジング センター global holdings 株式 会社 ふじみ野 市 レビュー,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
渋谷 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
壁紙 リフォーム,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
草野 工務 店 南 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,10,0,0.00%,JPY,0,0,検索
川越 市 増田 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ザ パーク ハウス 浦和 レジデンス,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
三 協 建設 飯能,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
イニシア フォーラム 井の頭 恩賜 公園,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
住 協,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
会 澤 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,7,0,0.00%,JPY,0,0,検索
セルコホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 工務 店,完全一致,追加済み,Search-1,広告グループ 1 個,7,0,0.00%,JPY,0,0,検索
足立 区 吉田 工務 店,フレーズ一致,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
和光 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
大友 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
株式 会社 永 大,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
株式 会社 大工 タカハギ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
県民 共済 熊谷,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
一条 工務 店 埼玉 県,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
日 高 市 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,1,100.00%,JPY,13,13,検索
建具 屋 さん,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,1,33.33%,JPY,255,255,検索
壁紙 張り替え 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,5,0,0.00%,JPY,0,0,検索
ワイズ ベース,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
窓 玄関 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
桧 家 住宅 浦和 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
いろどり ハウス,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
萩原 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
住宅 リフォーム 会社,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
窓 リフォーム 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
リフォーム さいたま 市 見沼 区,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
ガーラ レジデンス 川口,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
高野 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,4,0,0.00%,JPY,0,0,検索
竹並 建設 株式 会社,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
パルコン 住宅 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
築 古 リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
三郷 市 工務 店,完全一致,追加済み,Search-1,広告グループ 1 個,5,0,0.00%,JPY,0,0,検索
積水 ハウス 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
住宅 サポート c,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
オープン ハウス ディベロップメ ント 浦和,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
レジデンス 北浦 和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフレット ふじみ野,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
プラウド シティ 武蔵 浦和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
久喜 住宅 公園,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,4,0,0.00%,JPY,0,0,検索
松本 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
ハウス メーカー リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
内装 リフォーム 見積もり,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
リノベーション 見積もり,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,1,100.00%,JPY,35,35,検索
佐藤 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,3,0,0.00%,JPY,0,0,検索
bess 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
さいたま 市 塗装 業者,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
有限 会社 西友 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ヒロ 建 工,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,18,0,0.00%,JPY,0,0,検索
ベス の 家 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
リフォーム 越谷,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
浦和 住宅 展示 場 miraizu レビュー,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,5,0,0.00%,JPY,0,0,検索
プラウド 北浦 和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
木造 家,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
上村 工務 店 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
注文 住宅 できること,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 原山 住宅,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ヤマト 住 建 上尾 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
アイエス ホーム リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
リフォーム リホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 住宅 展示 場 イベント,インテント マッチ,なし,Search-1,広告グループ 1 個,3,1,33.33%,JPY,44,44,検索
株式 会社 島田 建 哲,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
清水 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
sg リアル ティ 和光,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
住友 林業 平屋,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
建設 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,7,0,0.00%,JPY,0,0,検索
フル リフォーム 業者,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
タクト ホーム 八潮 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ミライフ 所沢 ショールーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
丸喜 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
埼玉 県 工務 店 一覧,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
社寺 建築 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,8,0,0.00%,JPY,0,0,検索
嶋 澤 啓 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,5,0,0.00%,JPY,0,0,検索
さいたま 市 屋根 修理,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
