検索キーワード レポート
2025年10月27日 - 2025年11月25日
キーワードのステータス,キーワード,マッチタイプ,広告グループ,ステータス,ステータスの理由,コンバージョン,通貨コード,コンバージョン単価,最終ページ URL,クリック数,表示回数,クリック率,平均クリック単価,費用
一時停止,飯能市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,戸田市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,小金井市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,北区 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,東久留米市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,船橋市 建て替え,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,草加市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,豊島区 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,久喜市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,南埼玉郡宮代町 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,小金井市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
有効,川口市 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,流山市 家づくり,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,草加市 住宅会社,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,鴻巣市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,市川市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,飯能市 新築一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,行田市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,吉川市 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,日高市 二世帯住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,野田市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,1,0.00%,0,0
一時停止,平屋 間取り,インテント マッチ,広告グループ 1 個,一時停止中,一時停止,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,0,0, --,0,0
有効,小平市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,流山市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,柏市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,中野区 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,蕨市 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,富士見市 建て替え,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,白岡市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北葛飾郡杉戸町 デザイン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,志木市 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,飯能市 住宅会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,さいたま 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/family/,0,0, --,0,0
一時停止,東大和市 長期優良住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,新座市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,比企郡川島町 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,平屋 建築,インテント マッチ,広告グループ 1 個,一時停止中,一時停止,0.00,JPY,0,,0,0, --,0,0
有効,西東京市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,0,0, --,0,0
有効,三郷市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,三郷市 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,埼玉 和モダン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,久喜市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北葛飾郡杉戸町 住宅会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,所沢市 新築一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,流山市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,南埼玉郡宮代町 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,浦安市 新築,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,白岡市 新築一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,さいたま 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,さいたま 屋上,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,北足立郡伊奈町 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,板橋区 建築会社,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,久喜市 デザイン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,小金井市 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,所沢市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,川越市 建て替え,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,鴻巣市 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,新座市 高気密高断熱,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,川口市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,幸手市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,新座市 住宅会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北葛飾郡杉戸町 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,武蔵野市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,柏市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,富士見市 新築一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,和光市 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,鎌ヶ谷市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,幸手市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,浦和 一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,13,452,2.88%,34,447
有効,行田市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,2,0.00%,0,0
有効,浦安市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,蓮田市 一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,鴻巣市 二世帯住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,小金井市 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,船橋市 住宅会社,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,小平市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,中野区 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,八千代市 デザイン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,白井市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,さいたま 市 一軒家,インテント マッチ,広告グループ 1 個,一時停止中,一時停止,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,0,0, --,0,0
有効,流山市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
一時停止,蓮田市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,比企郡川島町 住宅会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,練馬区 住宅会社,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,入間郡三芳町 注文住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,幸手市 新築,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,習志野市 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,野田市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,日高市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,埼玉 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,東久留米市 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,埼玉 一戸建て,インテント マッチ,広告グループ 1 個,制限付き,低品質,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,12,242,4.96%,38,456
有効,新座市 工務店,インテント マッチ,広告グループ 1 個,制限付き,低品質,0.00,JPY,0,,0,0, --,0,0
一時停止,柏市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,富士見市 工務店,インテント マッチ,広告グループ 1 個,制限付き,低品質,0.00,JPY,0,,1,53,1.89%,71,71
一時停止,日高市 新築,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,蓮田市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,八潮市 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,幸手市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,埼玉 総合展示場 リゾート,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,0,0, --,0,0
一時停止,春日部市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,中野区 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
一時停止,入間市 一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,春日部市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,船橋市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,柏市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,白井市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,鎌ヶ谷市 新築,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,八千代市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,練馬区 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,鴻巣市 一戸建て,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,西東京市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,行田市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,北本市 住宅会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,さいたま おしゃれ 工務店,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,南埼玉郡宮代町 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,吉川市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,さいたま 高性能住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,富士見市 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,東村山市 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,久喜市 住宅会社,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
一時停止,富士見市 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,東松山市 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,南埼玉郡宮代町 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,桶川市 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,越谷市 平屋,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,1,0.00%,0,0
有効,さいたま市 注文住宅,インテント マッチ,広告グループ 1 個,制限付き,低品質,0.00,JPY,0,,1,52,1.92%,171,171
一時停止,清瀬市 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,鎌ヶ谷市 建て替え,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,ふじみ野市 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北本市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北本市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,川口市 新築,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,鎌ヶ谷市 デザイン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,八千代市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,中野区 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,清瀬市 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,飯能市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,鶴ヶ島市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,日高市 高気密高断熱,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
有効,鎌ヶ谷市 工務店,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,武蔵野市 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,葛飾区 リノベーション,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,戸田市 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,モデルハウス リゾート,インテント マッチ,広告グループ 1 個,一時停止中,一時停止,0.00,JPY,0,https://www.kurosawakoumuten.co.jp/,0,0, --,0,0
有効,浦安市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,北葛飾郡杉戸町 平屋,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,戸田市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,足立区 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,松戸市 新築,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,葛飾区 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,富士見市 注文住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,坂戸市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,松戸市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,白井市 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,川口市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,さいたま 完成見学会,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率,0.00,JPY,0,,0,0, --,0,0
一時停止,ふじみ野市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,杉並区 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
一時停止,和光市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,平屋 おしゃれ,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,12,176,6.82%,44,529
有効,市川市 新築一戸建て,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,新座市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,入間郡三芳町 二世帯住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,北足立郡伊奈町 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,船橋市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,東久留米市 新築,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,蕨市 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,市川市 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,鶴ヶ島市 建て替え,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,草加市 高気密高断熱,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,飯能市 ハウスメーカー,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
有効,春日部市 建築会社,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,豊島区 家づくり,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,豊島区 デザイン住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,習志野市 建て替え,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,狭山市 注文住宅 おしゃれ,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,東久留米市 長期優良住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,戸田市 注文住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
有効,葛飾区 二世帯住宅,インテント マッチ,広告グループ 1 個,有効,,0.00,JPY,0,,0,0, --,0,0
一時停止,坂戸市 家 建てる,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 不明,0.00,JPY,0,,0,0, --,0,0
一時停止,埼玉 狭小住宅,インテント マッチ,広告グループ 1 個,一時停止中,一時停止,0.00,JPY,0,,0,0, --,0,0
一時停止,北葛飾郡杉戸町 建築会社,インテント マッチ,広告グループ 1 個,一時停止中,一時停止; 低い掲載率; 不明,0.00,JPY,0,,0,0, --,0,0
有効,浦安市 工務店 おしゃれ,インテント マッチ,広告グループ 1 個,対象外,低い掲載率,0.00,JPY,0,,0,0, --,0,0
