収支区分,管理番号,発生日,支払期日,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,支払日,支払口座,支払金額
支出,,2025/05/29,,ハローパーク赤坂第一,車両費,課対仕入（控80）10%,2400,内税,174,"",,,,2025/05/29,現金,2400
支出,,2025/05/29,,ロイヤルホームセンター,仕入高,課対仕入（控80）10%,57813,内税,4204,"",,,,2025/05/29,現金,57813
支出,,2025/05/29,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/05/29,みずほ（法人）（API）,110
支出,,2025/05/29,,,支払手数料,課対仕入（控80）10%,220,内税,16,,,,,2025/05/29,みずほ（法人）（API）,220
支出,,2025/05/28,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,9190,内税,668,"",,,,2025/05/28,現金,9190
支出,,2025/05/28,,オリジン弁当,会議費,課対仕入（控80）10%,1909,内税,138,"",,,,2025/05/28,現金,1909
支出,,2025/05/28,,ケンデポ,仕入高,課対仕入（控80）10%,6216,内税,452,"",,,,2025/05/28,現金,6216
支出,,2025/05/28,,ケンデポ,仕入高,課対仕入（控80）10%,1958,内税,142,"",,,,2025/05/28,現金,1958
支出,,2025/05/28,,セブンイレブン,会議費,課対仕入（控80）10%,1127,内税,81,"",,,,2025/05/28,現金,1127
支出,,2025/05/27,,タイムパーク赤坂4丁目,車両費,課対仕入（控80）10%,6300,内税,458,"",,,,2025/05/27,現金,6300
支出,,2025/05/27,,とんかつさくら,交際費,課対仕入（控80）10%,4360,内税,317,"",,,,2025/05/27,現金,4360
支出,,2025/05/27,,ケンデポ,仕入高,課対仕入（控80）10%,10962,内税,797,"",,,,2025/05/27,現金,10962
支出,,2025/05/27,,ケンデポ,仕入高,課対仕入（控80）10%,21153,内税,1538,"",,,,2025/05/27,現金,21153
支出,,2025/05/26,,パーキング117,車両費,課対仕入（控80）10%,800,内税,58,"",,,,2025/05/26,現金,800
支出,,2025/05/26,,セブンイレブン,会議費,課対仕入（控80）10%,2105,内税,153,"",,,,2025/05/26,現金,2105
支出,,2025/05/26,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/26,みずほ（法人）（API）,220
支出,,2025/05/26,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/26,川口信金（法人）（API）,440
支出,,2025/05/25,,天府,交際費,課対仕入（控80）10%,8162,内税,593,"",,,,2025/05/25,現金,8162
支出,,2025/05/25,,セブンイレブン,会議費,課対仕入（控80）10%,1585,内税,115,"",,,,2025/05/25,現金,1585
支出,,2025/05/25,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/05/25,みずほ（法人）（API）,110
支出,,2025/05/25,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/25,みずほ（法人）（API）,220
支出,,2025/05/24,,徳ちゃん,交際費,課対仕入（控80）10%,22907,内税,1665,"",,,,2025/05/24,現金,22907
支出,,2025/05/24,,セブンイレブン,会議費,課対仕入（控80）10%,1413,内税,102,"",,,,2025/05/24,現金,1413
支出,,2025/05/23,,日本郵便株式会社,租税公課,対象外,261,内税,0,"",,,,2025/05/23,現金,261
支出,,2025/05/23,,ロイヤルホームセンター,仕入高,課対仕入（控80）10%,18927,内税,1376,"",,,,2025/05/23,現金,18927
支出,,2025/05/23,,セブンイレブン,会議費,課対仕入（控80）10%,1981,内税,144,"",,,,2025/05/23,現金,1981
支出,,2025/05/23,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/23,川口信金（法人）（API）,440
支出,,2025/05/23,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/23,川口信金（法人）（API）,440
支出,,2025/05/22,,セブンイレブン,会議費,課対仕入（控80）10%,1540,内税,112,"",,,,2025/05/22,現金,1540
支出,,2025/05/21,,(株)イハシエネルギー,車両費,課対仕入（控80）10%,5000,内税,363,"",,,,2025/05/21,現金,5000
支出,,2025/05/21,,ケンデポ,仕入高,課対仕入（控80）10%,1654,内税,120,"",,,,2025/05/21,現金,1654
支出,,2025/05/21,,ケンデポ,仕入高,課対仕入（控80）10%,7568,内税,550,"",,,,2025/05/21,現金,7568
支出,,2025/05/21,,セブンイレブン,会議費,課対仕入（控80）10%,2574,内税,187,"",,,,2025/05/21,現金,2574
支出,,2025/05/21,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/21,川口信金（法人）（API）,440
支出,,2025/05/20,,かつや,会議費,課対仕入（控80）10%,4156,内税,302,"",,,,2025/05/20,現金,4156
支出,,2025/05/20,,ENEOS,車両費,課対仕入（控80）10%,5850,内税,425,"",,,,2025/05/20,現金,5850
支出,,2025/05/20,,ケンデポ,仕入高,課対仕入（控80）10%,42902,内税,3120,"",,,,2025/05/20,現金,42902
支出,,2025/05/19,,トンカツ高知屋,交際費,課対仕入（控80）10%,7822,内税,568,"",,,,2025/05/19,現金,7822
支出,,2025/05/19,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,9994,内税,726,"",,,,2025/05/19,現金,9994
支出,,2025/05/19,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,8479,内税,616,"",,,,2025/05/19,現金,8479
支出,,2025/05/19,,リンガーハット,会議費,課対仕入（控80）10%,3520,内税,256,"",,,,2025/05/19,現金,3520
支出,,2025/05/19,,ケンデポ,仕入高,課対仕入（控80）10%,5478,内税,398,"",,,,2025/05/19,現金,5478
支出,,2025/05/19,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/05/19,川口信金（法人）（API）,270
支出,,2025/05/19,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/19,川口信金（法人）（API）,440
支出,,2025/05/19,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/19,みずほ（法人）（API）,220
支出,,2025/05/18,,(株)イハシエネルギー,車両費,課対仕入（控80）10%,9550,内税,694,"",,,,2025/05/18,現金,9550
支出,,2025/05/18,,株式会社オリエンタルフーズ,交際費,課対仕入（控80）10%,12243,内税,890,"",,,,2025/05/18,現金,12243
支出,,2025/05/18,,出島ゴルフクラブ,交際費,課対仕入（控80）10%,30420,内税,2212,"",,,,2025/05/18,現金,30420
支出,,2025/05/18,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/18,みずほ（法人）（API）,220
支出,,2025/05/17,,大栄パーク赤坂4丁目,車両費,課対仕入（控80）10%,3900,内税,283,"",,,,2025/05/17,現金,3900
支出,,2025/05/17,,ケンデポ,仕入高,課対仕入（控80）10%,3755,内税,273,"",,,,2025/05/17,現金,3755
支出,,2025/05/17,,セブンイレブン,会議費,課対仕入（控80）10%,1557,内税,113,"",,,,2025/05/17,現金,1557
支出,,2025/05/17,,セブンイレブン,会議費,課対仕入（控80）10%,324,内税,23,"",,,,2025/05/17,現金,324
支出,,2025/05/17,,牡丹亭,会議費,課対仕入（控80）10%,2464,内税,179,"",,,,2025/05/17,現金,2464
支出,,2025/05/17,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/17,みずほ（法人）（API）,220
支出,,2025/05/16,,ケンデポ,仕入高,課対仕入（控80）10%,3828,内税,278,"",,,,2025/05/16,現金,3828
支出,,2025/05/16,,ケンデポ,仕入高,課対仕入（控80）10%,59004,内税,4291,"",,,,2025/05/16,現金,59004
支出,,2025/05/16,,デニーズ,会議費,課対仕入（控80）10%,4290,内税,312,"",,,,2025/05/16,現金,4290
支出,,2025/05/16,,コモディイイダ駐車場,車両費,課対仕入（控80）10%,600,内税,43,"",,,,2025/05/16,現金,600
支出,,2025/05/16,,ケンデポ,仕入高,課対仕入（控80）10%,7154,内税,520,"",,,,2025/05/16,現金,7154
支出,,2025/05/15,,リンガーハット,会議費,課対仕入（控80）10%,3400,内税,247,"",,,,2025/05/15,現金,3400
支出,,2025/05/15,,セブンイレブン,会議費,課対仕入（控80）10%,1562,内税,113,"",,,,2025/05/15,現金,1562
支出,,2025/05/15,,株式会社ニトリ,仕入高,課対仕入（控80）10%,11980,内税,871,"",,,,2025/05/15,現金,11980
支出,,2025/05/15,,島忠ホームズ,仕入高,課対仕入（控80）10%,876,内税,63,"",,,,2025/05/15,現金,876
支出,,2025/05/15,,日高屋,会議費,課対仕入（控80）10%,1540,内税,112,"",,,,2025/05/15,現金,1540
支出,,2025/05/15,,平城苑,交際費,課対仕入（控80）10%,13949,内税,1014,"",,,,2025/05/15,現金,13949
支出,,2025/05/14,,とんかつさくら,会議費,課対仕入（控80）10%,3760,内税,273,"",,,,2025/05/14,現金,3760
支出,,2025/05/14,,ゴルフ５,交際費,課対仕入（控80）10%,5511,内税,400,"",,,,2025/05/14,現金,5511
支出,,2025/05/14,,ケンデポ,仕入高,課対仕入（控80）10%,13459,内税,978,"",,,,2025/05/14,現金,13459
支出,,2025/05/14,,東北人家本館,会議費,課対仕入（控80）10%,3135,内税,228,"",,,,2025/05/14,現金,3135
支出,,2025/05/14,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,1600,内税,116,"",,,,2025/05/14,現金,1600
支出,,2025/05/14,,セブンイレブン,会議費,課対仕入（控80）10%,1952,内税,141,"",,,,2025/05/14,現金,1952
支出,,2025/05/14,,ケンデポ,仕入高,課対仕入（控80）10%,27480,内税,1998,"",,,,2025/05/14,現金,27480
支出,,2025/05/14,,株式会社イシダ,外注費,課対仕入（控80）10%,14410,内税,1048,"",,,,2025/05/14,現金,14410
支出,,2025/05/14,,三井のリパーク,車両費,課対仕入（控80）10%,3300,内税,240,"",,,,2025/05/14,現金,3300
支出,,2025/05/14,,中華料理慶華桜,会議費,課対仕入（控80）10%,3000,内税,218,"",,,,2025/05/14,現金,3000
支出,,2025/05/14,,ケンデポ,仕入高,課対仕入（控80）10%,2752,内税,200,"",,,,2025/05/14,現金,2752
支出,,2025/05/14,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/14,川口信金（法人）（API）,440
支出,,2025/05/14,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/05/14,みずほ（法人）（API）,110
支出,,2025/05/14,,,支払手数料,課対仕入（控80）10%,220,内税,16,,,,,2025/05/14,みずほ（法人）（API）,220
支出,,2025/05/13,,ケンデポ,仕入高,課対仕入（控80）10%,4041,内税,293,"",,,,2025/05/13,現金,4041
支出,,2025/05/13,,ファミリーマート,会議費,課対仕入（控80）10%,1713,内税,124,"",,,,2025/05/13,現金,1713
支出,,2025/05/13,,東北人家本館,会議費,課対仕入（控80）10%,5544,内税,403,"",,,,2025/05/13,現金,5544
支出,,2025/05/13,,ケンデポ,仕入高,課対仕入（控80）10%,7326,内税,532,"",,,,2025/05/13,現金,7326
支出,,2025/05/12,,(株)コインパーク,車両費,課対仕入（控80）10%,1300,内税,94,"",,,,2025/05/12,現金,1300
支出,,2025/05/12,,ケンデポ,仕入高,課対仕入（控80）10%,24864,内税,1808,"",,,,2025/05/12,現金,24864
支出,,2025/05/12,,東北人家本館,会議費,課対仕入（控80）10%,6226,内税,452,"",,,,2025/05/12,現金,6226
支出,,2025/05/12,,樹モールプラザ駐車場,車両費,課対仕入（控80）10%,1400,内税,101,"",,,,2025/05/12,現金,1400
支出,,2025/05/12,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,500,内税,36,"",,,,2025/05/12,現金,500
支出,,2025/05/12,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/12,川口信金（法人）（API）,440
支出,,2025/05/12,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/12,川口信金（法人）（API）,440
支出,,2025/05/12,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/12,みずほ（法人）（API）,220
支出,,2025/05/11,,樹モールプラザ駐車場,車両費,課対仕入（控80）10%,1800,内税,130,"",,,,2025/05/11,現金,1800
支出,,2025/05/11,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/11,みずほ（法人）（API）,220
支出,,2025/05/10,,龍翔記,会議費,課対仕入（控80）10%,9834,内税,715,"",,,,2025/05/10,現金,9834
支出,,2025/05/10,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,3200,内税,232,"",,,,2025/05/10,現金,3200
支出,,2025/05/10,,セブンイレブン,会議費,課対仕入（控80）10%,3664,内税,266,"",,,,2025/05/10,現金,3664
支出,,2025/05/10,,ファミリーマート,会議費,課対仕入（控80）10%,1893,内税,137,"",,,,2025/05/10,現金,1893
支出,,2025/05/10,,,仕入高,課対仕入（控80）10%,4155,内税,302,,,,,2025/05/10,freeeセゾンプラチナビジネスカード,4155
支出,,2025/05/10,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/05/10,みずほ（法人）（API）,110
支出,,2025/05/09,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,1600,内税,116,"",,,,2025/05/09,現金,1600
支出,,2025/05/09,,東北人家本館,会議費,課対仕入（控80）10%,3608,内税,262,"",,,,2025/05/09,現金,3608
支出,,2025/05/09,,セブンイレブン,会議費,課対仕入（控80）10%,2224,内税,161,"",,,,2025/05/09,現金,2224
支出,,2025/05/09,,,仕入高,課対仕入（控80）10%,27128,内税,1972,,,,,2025/05/09,freeeセゾンプラチナビジネスカード,27128
支出,,2025/05/09,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/09,川口信金（法人）（API）,440
支出,,2025/05/09,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/09,川口信金（法人）（API）,440
支出,,2025/05/09,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/09,川口信金（法人）（API）,440
支出,,2025/05/09,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/09,川口信金（法人）（API）,440
支出,,2025/05/09,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/09,川口信金（法人）（API）,440
支出,,2025/05/08,,(株)コインパーク,車両費,課対仕入（控80）10%,1300,内税,94,"",,,,2025/05/08,現金,1300
支出,,2025/05/08,,,仕入高,課対仕入（控80）10%,11941,内税,868,,,,,2025/05/08,freeeセゾンプラチナビジネスカード,11941
支出,,2025/05/07,,タイムズ２４株式会社,車両費,課対仕入（控80）10%,3200,内税,232,"",,,,2025/05/07,現金,3200
支出,,2025/05/07,,ケンデポ,仕入高,課対仕入（控80）10%,932,内税,67,"",,,,2025/05/07,現金,932
支出,,2025/05/07,,,仕入高,課対仕入（控80）10%,15452,内税,1123,,,,,2025/05/07,freeeセゾンプラチナビジネスカード,15452
支出,,2025/05/07,,,旅費交通費,課対仕入（控80）10%,3200,内税,232,,,,,2025/05/07,freeeセゾンプラチナビジネスカード,3200
支出,,2025/05/04,,日高屋,会議費,課対仕入（控80）10%,2580,内税,187,"",,,,2025/05/04,現金,2580
支出,,2025/05/02,,ショウワパーク中華街,車両費,課対仕入（控80）10%,1800,内税,130,"",,,,2025/05/02,現金,1800
支出,,2025/05/02,,東北人家本館,会議費,課対仕入（控80）10%,3718,内税,270,"",,,,2025/05/02,現金,3718
支出,,2025/05/02,,ローソン,会議費,課対仕入（控80）10%,784,内税,57,"",,,,2025/05/02,現金,784
支出,,2025/05/02,,ファミリーマート,会議費,課対仕入（控80）10%,2780,内税,202,"",,,,2025/05/02,現金,2780
支出,,2025/05/02,,sugatadetail,車両費,課対仕入（控80）10%,95000,内税,6909,"",,,,2025/05/02,現金,95000
支出,,2025/05/02,,,仕入高,課対仕入（控80）10%,1348,内税,98,,,,,2025/05/02,freeeセゾンプラチナビジネスカード,1348
支出,,2025/05/02,,,仕入高,課対仕入（控80）10%,7612,内税,553,,,,,2025/05/02,freeeセゾンプラチナビジネスカード,7612
支出,,2025/05/02,,,仕入高,課対仕入（控80）10%,40015,内税,2910,,,,,2025/05/02,freeeセゾンプラチナビジネスカード,40015
支出,,2025/05/01,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,1600,内税,116,"",,,,2025/05/01,現金,1600
支出,,2025/05/01,,東北人家本館,会議費,課対仕入（控80）10%,5797,内税,421,"",,,,2025/05/01,現金,5797
支出,,2025/05/01,,セブンイレブン,会議費,課対仕入（控80）10%,3034,内税,220,"",,,,2025/05/01,現金,3034
支出,,2025/05/01,,樹モールプラザ駐車場,車両費,課対仕入（控80）10%,1800,内税,130,"",,,,2025/05/01,現金,1800
支出,,2025/05/01,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/01,川口信金（法人）（API）,440
支出,,2025/05/01,,,仕入高,課対仕入（控80）10%,20666,内税,1502,,,,,2025/05/01,freeeセゾンプラチナビジネスカード,20666
支出,,2025/04/30,,東北人家本館,会議費,課対仕入（控80）10%,3388,内税,246,"",,,,2025/04/30,現金,3388
支出,,2025/04/30,,ショウワパーク中華街,車両費,課対仕入（控80）10%,1800,内税,130,"",,,,2025/04/30,現金,1800
支出,,2025/04/30,,セブンイレブン,会議費,課対仕入（控80）10%,2133,内税,155,"",,,,2025/04/30,現金,2133
支出,,2025/04/30,,,仕入高,課対仕入（控80）10%,30484,内税,2217,,,,,2025/04/30,freeeセゾンプラチナビジネスカード,30484
支出,,2025/04/29,,大栄パーク常盤4丁目駐車場,車両費,課対仕入（控80）10%,1600,内税,116,"",,,,2025/04/29,現金,1600
支出,,2025/04/29,,セブンイレブン,会議費,課対仕入（控80）10%,820,内税,59,"",,,,2025/04/29,現金,820
支出,,2025/04/29,,島忠ホームズ,仕入高,課対仕入（控80）10%,1668,内税,121,"",,,,2025/04/29,現金,1668
支出,,2025/04/29,,山田うどん食堂,会議費,課対仕入（控80）10%,2710,内税,197,"",,,,2025/04/29,現金,2710
支出,,2025/04/28,,丸亀製?,会議費,課対仕入（控80）10%,3020,内税,219,"",,,,2025/04/28,現金,3020
支出,,2025/04/28,,お蕎麦屋杉うら,会議費,課対仕入（控80）10%,3590,内税,261,"",,,,2025/04/28,現金,3590
支出,,2025/04/28,,東北人家本館,会議費,課対仕入（控80）10%,3355,内税,244,"",,,,2025/04/28,現金,3355
支出,,2025/04/28,,エコロパーク横浜中華街第一,車両費,課対仕入（控80）10%,1600,内税,116,"",,,,2025/04/28,現金,1600
支出,,2025/04/28,,セブンイレブン,会議費,課対仕入（控80）10%,1377,内税,100,"",,,,2025/04/28,現金,1377
支出,,2025/04/28,,,仕入高,課対仕入（控80）10%,8142,内税,592,,,,,2025/04/28,freeeセゾンプラチナビジネスカード,8142
支出,,2025/04/28,,,給料手当,対象外,30000,内税,0,,,,,2025/04/28,川口信金（法人）（API）,30000
支出,,2025/04/28,,,給料手当,対象外,85000,内税,0,,,,,2025/04/28,川口信金（法人）（API）,85000
支出,,2025/04/28,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/04/28,川口信金（法人）（API）,270
支出,,2025/04/27,,スターツアメニティー,車両費,課対仕入（控80）10%,100,内税,7,"",,,,2025/04/27,現金,100
支出,,2025/04/26,,セブンイレブン,会議費,課対仕入（控80）10%,888,内税,64,"",,,,2025/04/26,現金,888
支出,,2025/04/26,,株式会社イシダ,外注費,課対仕入（控80）10%,8140,内税,592,"",,,,2025/04/26,現金,8140
支出,,2025/04/26,,株式会社イシダ,外注費,課対仕入（控80）10%,11000,内税,800,"",,,,2025/04/26,現金,11000
支出,,2025/04/26,,町田商店,会議費,課対仕入（控80）10%,4700,内税,341,"",,,,2025/04/26,現金,4700
支出,,2025/04/26,,ケンデポ,仕入高,課対仕入（控80）10%,6230,内税,453,"",,,,2025/04/26,現金,6230
支出,,2025/04/26,,,仕入高,課対仕入（控80）10%,1188,内税,86,,,,,2025/04/26,freeeセゾンプラチナビジネスカード,1188
支出,,2025/04/26,,,仕入高,課対仕入（控80）10%,5225,内税,380,,,,,2025/04/26,freeeセゾンプラチナビジネスカード,5225
支出,,2025/04/26,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/04/26,みずほ（法人）（API）,220
支出,,2025/04/25,,セブンイレブン,会議費,課対仕入（控80）10%,2838,内税,206,"",,,,2025/04/25,現金,2838
支出,,2025/04/25,,ファミリーマート,会議費,課対仕入（控80）10%,2555,内税,185,"",,,,2025/04/25,現金,2555
支出,,2025/04/25,,ファミリーマート,会議費,課対仕入（控80）10%,580,内税,42,"",,,,2025/04/25,現金,580
支出,,2025/04/25,,ファミリーマート,会議費,課対仕入（控80）10%,3477,内税,252,"",,,,2025/04/25,現金,3477
支出,,2025/04/25,,川崎有五,仕入高,課対仕入（控80）10%,82500,内税,6000,"",,,,2025/04/25,現金,82500
支出,,2025/04/25,,島忠ホームズ,仕入高,課対仕入（控80）10%,3966,内税,288,"",,,,2025/04/25,現金,3966
支出,,2025/04/25,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/04/25,川口信金（法人）（API）,440
支出,,2025/04/24,,インドネパールレストランエベレストキッチン,会議費,課対仕入（控80）10%,2200,内税,160,"",,,,2025/04/24,現金,2200
支出,,2025/04/24,,セブンイレブン,会議費,課対仕入（控80）10%,1959,内税,142,"",,,,2025/04/24,現金,1959
支出,,2025/04/24,,,仕入高,課対仕入（控80）10%,6397,内税,465,,,,,2025/04/24,freeeセゾンプラチナビジネスカード,6397
支出,,2025/04/24,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/04/24,川口信金（法人）（API）,270
支出,,2025/04/23,,セブンイレブン,会議費,課対仕入（控80）10%,919,内税,66,"",,,,2025/04/23,現金,919
支出,,2025/04/23,,ファミリーマート,会議費,課対仕入（控80）10%,2041,内税,148,"",,,,2025/04/23,現金,2041
支出,,2025/04/23,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,2000,内税,145,"",,,,2025/04/23,現金,2000
支出,,2025/04/23,,宏福桜,会議費,課対仕入（控80）10%,2750,内税,200,"",,,,2025/04/23,現金,2750
支出,,2025/04/23,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,7160,内税,520,"",,,,2025/04/23,現金,7160
支出,,2025/04/23,,ショウワパーク中華街,車両費,課対仕入（控80）10%,1800,内税,130,"",,,,2025/04/23,現金,1800
支出,,2025/04/23,,セブンイレブン,会議費,課対仕入（控80）10%,646,内税,46,"",,,,2025/04/23,現金,646
支出,,2025/04/23,,,仕入高,課対仕入（控80）10%,8000,内税,581,,,,,2025/04/23,freeeセゾンプラチナビジネスカード,8000
支出,,2025/04/23,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/04/23,川口信金（法人）（API）,440
支出,,2025/04/23,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/04/23,川口信金（法人）（API）,270
支出,,2025/04/22,,ゴルフ５,交際費,課対仕入（控80）10%,18784,内税,1366,"",,,,2025/04/22,現金,18784
支出,,2025/04/22,,パーキング117,車両費,課対仕入（控80）10%,800,内税,58,"",,,,2025/04/22,現金,800
支出,,2025/04/22,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/04/22,川口信金（法人）（API）,440
支出,,2025/04/21,,セブンイレブン,会議費,課対仕入（控80）10%,1383,内税,100,"",,,,2025/04/21,現金,1383
支出,,2025/04/21,,セブンイレブン,会議費,課対仕入（控80）10%,1158,内税,84,"",,,,2025/04/21,現金,1158
支出,,2025/04/21,,トンカツ高知屋,交際費,課対仕入（控80）10%,7608,内税,553,"",,,,2025/04/21,現金,7608
支出,,2025/04/21,,インドネパールレストランエベレストキッチン,会議費,課対仕入（控80）10%,2420,内税,176,"",,,,2025/04/21,現金,2420
支出,,2025/04/21,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/04/21,川口信金（法人）（API）,440
支出,,2025/04/21,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/04/21,川口信金（法人）（API）,440
支出,,2025/04/20,,大栄パーク常盤4丁目駐車場,車両費,課対仕入（控80）10%,1200,内税,87,"",,,,2025/04/20,現金,1200
